Name,Unemployment_rate_2008-2012,Unemployment_rate_2013-2018,Unemployment_rate_variance
Alabama,8.959999999999999,5.7,3.259999999999999
Alaska,7.4,6.816666666666666,0.5833333333333339
Arizona,8.86,5.949999999999999,2.91
Arkansas,7.4799999999999995,4.933333333333333,2.546666666666667
California,10.559999999999999,6.183333333333334,4.376666666666665
Colorado,7.419999999999999,4.166666666666667,3.253333333333332
Connecticut,7.960000000000001,5.666666666666665,2.2933333333333357
Delaware,7.260000000000001,5.016666666666667,2.243333333333334
District of Columbia,8.88,6.833333333333335,2.046666666666666
Florida,9.26,5.266666666666667,3.993333333333333
Georgia,9.2,5.883333333333333,3.3166666666666664
Hawaii,6.24,3.4499999999999997,2.7900000000000005
Idaho,7.68,4.1499999999999995,3.5300000000000002
Illinois,9.12,6.183333333333334,2.9366666666666656
Indiana,8.8,4.983333333333333,3.8166666666666673
Iowa,5.42,3.6500000000000004,1.7699999999999996
Kansas,6.16,4.183333333333333,1.9766666666666675
Kentucky,8.9,5.683333333333333,3.2166666666666677
Louisiana,6.92,5.916666666666667,1.003333333333333
Maine,7.42,4.533333333333333,2.8866666666666667
Maryland,6.619999999999999,5.033333333333333,1.586666666666666
Massachusetts,7.18,4.7,2.4799999999999995
Michigan,10.76,5.8500000000000005,4.909999999999999
Minnesota,6.540000000000001,3.849999999999999,2.6900000000000017
Mississippi,9.1,6.349999999999999,2.750000000000001
Missouri,8.08,4.8999999999999995,3.1800000000000006
Montana,6.42,4.333333333333333,2.086666666666667
Nebraska,4.18,3.15,1.0299999999999998
Nevada,11.14,6.616666666666667,4.523333333333333
New Hampshire,5.359999999999999,3.483333333333333,1.8766666666666665
New Jersey,8.5,5.75,2.75
New Mexico,6.94,6.25,0.6900000000000004
New York,7.82,5.5,2.3200000000000003
North Carolina,9.440000000000001,5.583333333333333,3.8566666666666682
North Dakota,3.54,2.8000000000000003,0.7399999999999998
Ohio,8.64,5.466666666666668,3.173333333333333
Oklahoma,5.6000000000000005,4.433333333333333,1.1666666666666679
Oregon,9.34,5.566666666666666,3.7733333333333334
Pennsylvania,7.5,5.533333333333332,1.9666666666666677
Rhode Island,10.28,6.116666666666667,4.163333333333332
South Carolina,9.8,5.466666666666668,4.333333333333333
South Dakota,4.4,3.25,1.1500000000000004
Tennessee,8.719999999999999,5.333333333333333,3.386666666666666
Texas,7.0,4.766666666666667,2.2333333333333334
Utah,6.159999999999999,3.6333333333333333,2.526666666666666
Vermont,5.58,3.466666666666667,2.1133333333333333
Virginia,6.08,4.366666666666666,1.7133333333333338
Washington,8.400000000000002,5.533333333333334,2.866666666666668
West Virginia,7.26,6.116666666666666,1.1433333333333335
Wisconsin,7.4,4.500000000000001,2.8999999999999995
Wyoming,5.380000000000001,4.45,0.9300000000000006
